,coef
skill_CSS3,3199.3858915198393
skill_Навыки презентации,3169.3724263118193
skill_Разработка технических заданий,3103.390949073068
skill_Теплые продажи,3090.608280702393
skill_Технический контроль производства,3058.199284560133
skill_Планирование,3032.479980710958
skill_Интеграционное тестирование,2947.7986646051186
skill_Производственное планирование,2912.816462553592
skill_ORACLE,2871.8185514046654
skill_Адаптация персонала,2866.435114427271
skill_CustDev,2832.4636202177385
skill_Чтение электросхем,2787.403043144238
skill_Анализ целевой аудитории,2769.697757535757
skill_Английский язык,2725.2248974274917
skill_Управление ассортиментом,2721.8283078818185
skill_TCP/IP,2712.782095414855
skill_1С: Зарплата и кадры,2709.829614767674
skill_Gitlab,2704.870138039731
skill_Hyper-V,2670.7130453308187
skill_Бизнес-анализ,2638.2342115049514
skill_Laravel,2554.8511870821135
skill_Маркетинговая стратегия,2551.880202631406
skill_E-Commerce,2465.920288498984
skill_АСУ ТП,2465.5123832171066
skill_Производственный контроль,2421.7364303702143
skill_Управление бюджетом,2415.7721764275675
skill_Администрирование ОС,2400.7734504242394
skill_Ozon,2364.7948139668733
skill_Аналитика маркетплейсов,2190.0970699709933
skill_CRM,2181.049390103891
skill_Управление товарными запасами,2169.095167584602
skill_SOAP,2146.4063849049826
skill_Linux,2122.567652787193
skill_Разработка маркетинговой стратегии,2029.5178731687308
skill_UML,2010.3531278346557
skill_Умение планировать,1946.9013561329416
skill_Администрирование сайтов,1865.0323540413856
skill_Use case,1856.9954366456739
skill_iOS,1826.1029559682875
skill_PowerShell,1793.3557242417544
skill_Прототипирование,1757.9302176956094
skill_Согласование договоров,1743.2513249403714
skill_Подготовка презентаций,1726.0454007279207
skill_Прогнозирование,1720.1761921447185
skill_Выявление потребностей,1679.3612338328103
skill_Работа с ключевыми клиентами,1678.0498953642875
skill_Ведение проектной документации,1628.993568099812
skill_Установка драйверов,1592.7726989784305
skill_Управленческие навыки,1550.6591544383248
skill_Организация работы сотрудников,1523.9848254370088
skill_Администрирование,1489.0867448860922
skill_Анализ требований,1418.231933529247
skill_Чтение чертежей,1408.347082572096
skill_Основы маркетинга,1402.9966306599895
skill_Анализ конкурентной среды,1377.8540877995506
skill_XML,1367.9470456578417
skill_Анализ воронки продаж,1357.0551622651326
skill_Go,1332.9259850812375
skill_Сопровождение строительства,1322.0857903947256
skill_Моделирование бизнес-процессов,1320.0016523748855
skill_Управление стейкхолдерами,1279.7980472761014
skill_Коммуникативные навыки,1226.0014611682393
skill_Google Analytics,1162.5252971777888
skill_Техническое обслуживание,1151.2227128609645
skill_Прямые продажи,1000.9236698749163
skill_Предпродажная подготовка товара,956.8708457500753
skill_Atlassian Confluence,956.5686456137047
skill_Grafana,917.8198070265092
skill_Ремонтные работы,887.6432818630103
skill_Продуктовые метрики,884.3613434739457
skill_Тестирование,865.6165790693672
skill_B2B Продажи,854.6943177605435
skill_Администрирование серверов Windows,778.9761462530025
skill_Ремонт ПК,748.6850027005738
skill_Project management,671.8698726517363
skill_1С: Бухгалтерия,668.3577093626087
skill_Internet Marketing,635.5131749976698
skill_Ценообразование,592.6142597874948
skill_QA,517.5481576185972
skill_Электромонтажные работы,490.13064658914146
skill_Визуальный мерчандайзинг,486.3182507848608
skill_Монтаж инженерных систем,441.5759228863659
skill_Анализ ассортиментной линейки,416.87141402261693
skill_Разработка инструкций,397.8711772104961
skill_Поиск и привлечение клиентов,366.30917982644416
skill_Разработка ПО,350.3847121108108
skill_Креативность,337.6001178273
skill_Коммуникабельность,332.38267106452093
skill_Системы видеонаблюдения,314.4659352902618
skill_Развитие продаж,285.977740532738
skill_Электрические системы и слаботочные системы,283.0214110539662
skill_Управление бизнес процессами,276.69187298311186
skill_Телефонные переговоры,204.33825502084142
skill_Оформление торгового зала,172.56501608248237
skill_Qt,135.37639515911803
skill_Яндекс.Директ,134.42271121611685
skill_Бухгалтерский учет,102.01670162275907
skill_Системный анализ,99.59750305084077
skill_Планирование бюджета,96.27349889297743
skill_Основы управления проектами,76.30001788570796
skill_Планирование маркетинговых кампаний,75.27426814685076
skill_Инвентаризация,74.97534842088683
skill_Экономический анализ,55.19812078338992
skill_Управление изменениями,-88.3014998963945
skill_CSS,-100.85203834604498
skill_UI,-182.70964992880417
skill_Поисковая оптимизация сайтов,-188.35483463712552
skill_Обучаемость,-229.48238176925886
skill_MS SQL Server,-273.34504629547484
skill_Работа с дебиторской задолженностью,-277.39838448304357
skill_Маркетинговый анализ,-285.6460198426832
skill_Интернет-реклама,-292.08638542251697
skill_Контекстная реклама,-300.9076390025772
skill_Заказ товара,-399.0429305478646
skill_Анализ бизнес показателей,-456.3024465381111
skill_Автоматизация бизнес-процессов,-466.7309380528441
skill_Ответственность,-477.8107443282349
skill_Zabbix,-512.9697299045343
skill_Оптимизация бизнес-процессов,-517.8858889738839
skill_Линейная выкладка товара,-532.5138769958064
skill_Windows Server,-553.6941290938817
skill_Big Data,-555.8270243432337
skill_Планирование рекламных кампаний,-583.7865132396753
skill_Digital Marketing,-587.7180549023351
skill_MS Office,-598.3908860942009
skill_VPN,-611.1370904763285
skill_Администрирование серверов,-672.6846754155217
skill_API,-724.5176471149597
skill_Управление производственным персоналом,-741.6515761384346
skill_Анализ ценообразования,-755.6914794487695
skill_Ведение документации,-765.5276903450236
skill_REST,-872.648432167181
skill_Схемотехника электронного оборудования,-880.0470966985092
skill_Внутренние коммуникации,-894.0771344793676
skill_Маркетинговое планирование,-957.1008753300308
skill_Навыки продаж,-984.9119634492586
skill_1С: Комплексная автоматизация,-1032.5055168021493
skill_Организаторские навыки,-1057.0988255616764
skill_Офисная техника,-1075.6995892319667
skill_Деловая этика,-1077.8448640395227
skill_GitHub,-1095.6678605926197
skill_1С,-1126.0418934649388
skill_REST API,-1149.4344888586247
skill_Клиентоориентированность,-1239.200938184177
skill_JSON,-1239.7075471763644
skill_Wildberries,-1265.6882390509836
skill_Сметы,-1286.4414462314
skill_C#,-1345.2278382355773
skill_Пуско-наладочные работы,-1397.6967443363683
skill_Техническое обслуживание оборудования,-1426.619161187273
skill_Грамотная устная речь,-1501.5535565961316
skill_Грамотная речь,-1616.5875524376995
skill_Выкладка товара,-1620.1325503166058
skill_Административная поддержка руководителя,-1677.5256280206575
skill_1С: Предприятие,-1690.7667433008528
skill_Helpdesk,-1700.096657508267
skill_Bitrix,-1743.5564601117655
skill_Электротехнические работы,-1766.715756485233
skill_Настройка серверов,-1769.2285886542065
skill_Формирование бюджета,-1781.9344143065034
skill_Apache Kafka,-1787.2415692329498
skill_Навыки составления отчетности,-1826.1964230217222
skill_Создание конфигурации 1С,-1945.1673830245697
skill_Сбор требований,-1960.648646267351
skill_Разработка технической документации,-1974.0797375977559
skill_Приемка товара,-1998.928635698016
skill_Участие в Тендерах,-2033.6418754907827
skill_Знание кассовой дисциплины,-2082.7548557020473
skill_Проведение собеседований,-2204.919826124451
skill_Веб-дизайн,-2230.19226092466
skill_Blender 3D,-2244.288044187945
skill_Контроль выполнения задач,-2279.7359852332634
skill_Ремонт оборудования,-2315.2078852710893
skill_Настройка ПО,-2317.9256791667553
skill_Работа с проектной документацией,-2329.4383805156594
skill_DHCP,-2340.953624465542
skill_Стрессоустойчивость,-2353.133942607903
skill_Составление отчетности,-2383.767879037426
skill_Внимательность,-2407.080316009202
skill_Atlassian Jira,-2425.5249746370273
skill_Кассовые операции,-2441.1854302294582
skill_Составление семантического ядра,-2447.248955971063
skill_IP-телефония,-2447.3644927346404
skill_Налоговая отчетность,-2457.9255778194324
skill_Веб-аналитика,-2491.7340958851983
skill_Настройка почтовых серверов,-2572.531944120191
skill_ERP,-2594.8344682498323
skill_UX,-2609.4628742611976
skill_Работа с базами данных,-2620.897532932471
skill_amoCRM,-2657.1953606832108
skill_Управление подрядчиками,-2713.915225861094
skill_Жизненный цикл проекта,-2736.4553715990382
skill_Договорная работа,-2769.5080510699413
skill_SEO оптимизация,-2819.260679334194
skill_Диагностика неисправностей,-2819.4091437866914
skill_Деловое общение,-2832.4465173445387
skill_Инженерные системы,-2879.803123063643
skill_Работа с ТМЦ,-2942.1295410492
skill_Разработка стратегии развития,-2953.5965117042397
skill_Сборка ПК,-3019.6313203380264
skill_Анализ бизнес-процессов,-3043.8776946445055
skill_Деловая коммуникация,-3049.5412389599473
skill_Умение работать в коллективе,-3058.5997235113323
skill_Системное мышление,-3122.1376854161667
skill_Ассортиментная матрица,-3143.0305812712977
skill_Аналитические исследования,-3208.033682256374
skill_оформление документации,-3267.046162228532
skill_Управление временем,-3284.3320606065345
skill_Wordpress,-3309.446596574349
skill_Мотивация персонала,-3356.2008479193364
skill_1С: Предприятие 8,-3376.29776585938
skill_Разработка компьютерных Игр,-3387.101666309489
skill_Управление проектами,-3396.783627746815
skill_Docker,-3411.4622201480547
skill_Исполнительность,-3429.196582420144
skill_Работа с большим объемом информации,-3453.227252301531
skill_Локальные сети,-3599.9676901282055
skill_JavaScript,-3633.2601376688144
skill_Оформление витрин,-3657.2844663425267
skill_Менеджмент качества,-3716.697664200456
skill_Администрирование серверов Linux,-3719.3363598921496
skill_jQuery,-3720.009925170671
skill_Анализ данных,-3734.257640987427
skill_Проектный менеджмент,-3798.321184419425
skill_Математическая статистика,-3913.3931634338583
skill_Консультативные продажи,-3919.7605962823404
skill_Консультирование клиентов,-3952.2259883784764
skill_Телевидение,-3972.480735151369
skill_Работа с возражениями,-4042.7910006678417
skill_Scrum,-4057.5847214065957
skill_Работа в условиях многозадачности,-4065.3433682717305
skill_Обучение,-4136.989407265858
skill_Мониторинг цен,-4171.909574388439
skill_Аналитический склад ума,-4176.8961363087665
skill_Многозадачность,-4247.014164517301
skill_Web-дизайн,-4272.079796812699
skill_React,-4291.2452310252
skill_Подготовка коммерческих предложений,-4301.425086104974
skill_Маркетинговые коммуникации,-4339.803365599486
skill_Мониторинг рынка,-4346.698960072914
skill_HR-аналитика,-4493.8250593369585
skill_Продвижение бренда,-4509.16604367205
skill_Spring Framework,-4566.553948907694
skill_Складской Учет,-4575.242027739329
skill_Прокладка кабелей,-4599.600666733748
skill_Оценка персонала,-4605.626234405176
skill_Наставничество,-4623.627195994114
skill_Холодные звонки,-4624.880275120685
skill_Удаленное администрирование,-4647.320809946041
skill_Базы данных,-4662.187372623545
skill_Разработка регламентов,-4671.138564283735
skill_Наполнение контентом,-4689.934918546082
skill_Nginx,-4702.450383146032
skill_Аналитическое мышление,-4708.984461868059
skill_Внутренний контроль,-4728.555963567444
skill_Мотивация сотрудников,-4761.508005487669
skill_Настройка DNS,-4769.760552108292
skill_Swagger,-4802.964206503103
skill_Продвижение сайтов,-4808.166947860034
skill_Работа в команде,-4808.850114826167
skill_Agile,-4898.42979467438
skill_Контроль исправности оборудования,-4918.238548943673
skill_Финансовая отчетность,-4930.582848852718
skill_Розничная торговля,-4972.727480581289
skill_Разработка проектной документации,-4980.304283035955
skill_Пользователь ПК,-4987.1252964392825
skill_FastAPI,-4993.776662175458
skill_1С-Битрикс,-5143.644411457353
skill_Массовый подбор персонала,-5144.907148309414
skill_Точность и внимательность к деталям,-5198.557665330228
skill_HTTP,-5238.34985587148
skill_Настройка оборудования,-5247.634987272857
skill_Управленческий учет,-5267.18277147023
skill_Первичная документация,-5299.649425747074
skill_Конкурентная аналитика,-5347.836326696512
skill_Установка ПО,-5358.572729468737
skill_Обучение и развитие,-5388.705722884336
skill_Обновление конфигурации 1С,-5424.54525497322
skill_Графические редакторы,-5510.5427502404955
skill_SEO,-5520.296576828336
skill_Битрикс24,-5556.361903416824
skill_Управление бэклогом,-5603.086425974321
skill_Таргетинг,-5624.526606095124
skill_MS Word,-5648.611823359378
skill_ЕСКД,-5658.492975138596
skill_Тестирование безопасности,-5681.426356544051
skill_Ведение переписки,-5700.937846963406
skill_Интернет маркетинг,-5813.316468677764
skill_Google Docs,-5824.796635760018
skill_Преподавание,-5858.32058679337
skill_Обеспечение антивирусной защиты,-5927.853817461998
skill_Финансовый анализ,-5942.202313241081
skill_Охрана труда и техника безопасности,-5994.984894765617
skill_Рекрутмент,-6145.970525893574
skill_Kanban,-6184.585810570994
skill_1C: Предприятие,-6204.152583269803
skill_MS PowerPoint,-6265.063872417078
skill_Исполнение личных поручений руководителя,-6278.482664316212
skill_Сбор и анализ информации,-6383.630397231521
skill_Командообразование,-6569.606637263176
skill_Настройка сетевых подключений,-6612.054461590888
skill_Мерчандайзинг,-6665.405996781638
skill_Контроль сотрудников,-6688.117717092506
skill_Нормативно-техническая документация,-6694.208847745116
skill_Разработка пользовательской документации,-6736.312456655916
skill_ООП,-6748.768820956319
skill_Организация деловых встреч,-6804.035421510263
skill_Продвинутый пользователь ПК,-6806.031960675588
skill_Преподаватель,-6815.420294971165
skill_ABC-анализ,-6859.581098407776
skill_С#,-6959.502981575275
skill_Техническая поддержка пользователей,-7009.741815488609
skill_Закупка товаров и услуг,-7055.370276573147
skill_Аналитика,-7061.351395806322
skill_Adobe Photoshop,-7065.290755739427
skill_Оценка потребностей клиентов,-7247.625438096863
skill_CMS Wordpress,-7292.474796838829
skill_Аудит поисковой видимости сайта,-7336.409921757751
skill_Организация встреч,-7380.2144075356655
skill_Написание текстов,-7393.596274152113
skill_Социальные сети,-7409.994835205414
skill_Postman,-7460.618470794886
skill_Android,-7492.759010930988
skill_Управление качеством,-7554.550396767861
skill_SMM,-7559.8855415028565
skill_Контроль качества,-7637.736964990729
skill_MS Excel,-7732.844425736341
skill_Грамотность,-7736.006868282055
skill_1С: Управление Производственным Предприятием,-7803.702227819616
skill_Деловая переписка,-7813.785968290864
skill_Flutter,-7849.232661338268
skill_Оптимизация затрат,-7980.763140917808
skill_Проектирование,-7982.98243842429
skill_Дизайн,-8022.511318718848
skill_Бухгалтерская отчетность,-8034.300916403964
skill_Моделирование бизнес процессов,-8043.403996453568
skill_Описание бизнес-процессов,-8076.761251305875
skill_Расстановка приоритетов,-8107.158064557463
skill_Настройка ПК,-8116.293041746046
skill_Автоматизация технологических процессов,-8234.617088990275
skill_Обучение персонала,-8314.30154788499
skill_Точечный подбор персонала,-8329.396499855846
skill_Реклама,-8666.080539244675
skill_Администрирование сетевого оборудования,-8758.971393163518
skill_Обслуживание покупателей,-8759.462397137508
skill_Bash,-8796.824131592664
skill_Организация мероприятий,-8832.430182969052
skill_HTML5,-8886.643430792046
skill_Аналитические способности,-9043.978121322069
skill_Выкладка товаров,-9250.019319619792
skill_Планирование ресурсов,-9326.445130754515
skill_Графический дизайн,-9389.120500442485
skill_Работа с оргтехникой,-9403.068874204717
skill_3D Моделирование,-9675.815912413496
skill_Техническая поддержка,-9697.283426348044
skill_Электронный документооборот,-9760.509628139882
skill_Организационные навыки,-9808.485685059537
skill_HTML,-9939.343344529329
skill_Django Framework,-10066.218581898895
skill_Регрессионное тестирование,-10128.001631177576
skill_Грамотная письменная речь,-10382.879952352161
skill_Контроль качества продукции,-10557.150404380249
skill_Яндекс.Метрика,-10588.318529285592
skill_MySQL,-10699.040456321707
skill_Веб-программирование,-10706.977354826457
skill_Ведение отчетности,-10709.735274189268
skill_Adobe Illustrator,-10751.012983826202
skill_работа с текущей базой клиентов,-10920.526130012075
skill_Анализ обратной связи,-10988.36096039707
skill_Figma,-11031.537134215896
skill_Управление коммуникациями,-11049.822990982191
skill_Управление интернет-проектами,-11107.2103490832
skill_Первичная бухгалтерская документация,-11108.676062520874
skill_Проведение инвентаризаций,-11284.24987965572
skill_Делопроизводство,-11336.182050672322
skill_Консультирование,-11351.705612339441
skill_Работа с клиентами,-11419.889601735467
skill_Работа с поставщиками,-11443.786460348703
skill_Ручное тестирование,-11546.236744964663
skill_1C: Бухгалтерия,-11631.124499504263
skill_Функциональное тестирование,-11900.290930774787
skill_Active Directory,-12130.528531777945
skill_Unity,-12140.556815077143
skill_MikroTik,-12750.875797353128
skill_Групповое обучение,-12876.11360212979
skill_Подбор персонала,-12994.791664808406
skill_Стратегия продаж,-13045.413757687473
skill_Управление ожиданиями,-13436.715401461486
skill_Документооборот,-13969.375227193188
skill_Маркетплейсы,-13980.206634471959
skill_Копирайтинг,-14354.65576775581
skill_Кадровое делопроизводство,-19033.331591093036
skill_Организация учебного процесса,-25142.440827811595
