skill,model,accuracy,precision,recall,f1,majority_baseline_acc,positive_rate,pr_auc,roc_auc
работа с большим объемом информации,spark_logistic_regression,0.8932176656151419,0.15763546798029557,0.36923076923076925,0.22094361334867663,0.9589905362776026,0.04100946372239748,0.1459144666713209,0.807498418522267
docker,spark_random_forest,0.9429022082018927,0.3047091412742382,0.497737556561086,0.3780068728522337,0.9651419558359622,0.03485804416403786,0.2957996177659169,0.9219466257092548
docker,spark_gbt,0.9350157728706625,0.27634660421545665,0.5339366515837104,0.36419753086419754,0.9651419558359622,0.03485804416403786,0.3066389960017363,0.8981427184372676
docker,spark_logistic_regression,0.9313880126182965,0.26327433628318586,0.5384615384615384,0.3536404160475483,0.9651419558359622,0.03485804416403786,0.3102717642634232,0.9257678960052476
1с программирование,spark_random_forest,0.972397476340694,0.5157894736842106,0.7989130434782609,0.626865671641791,0.9709779179810726,0.029022082018927444,0.5648274756192518,0.9814037912817466
1с программирование,spark_gbt,0.9690851735015773,0.47959183673469385,0.7663043478260869,0.5899581589958158,0.9709779179810726,0.029022082018927444,0.5500549942840002,0.9548575797383964
1с программирование,spark_logistic_regression,0.9659305993690852,0.45321637426900585,0.842391304347826,0.5893536121673003,0.9709779179810726,0.029022082018927444,0.518570414384962,0.9797846568918268
организаторские навыки,spark_random_forest,0.9198738170347003,0.1941747572815534,0.5181347150259067,0.2824858757062147,0.9695583596214511,0.030441640378548896,0.2243311330605562,0.873722469615323
организаторские навыки,spark_gbt,0.9495268138801262,0.2567049808429119,0.3471502590673575,0.2951541850220264,0.9695583596214511,0.030441640378548896,0.2413676004386112,0.8353289148166975
организаторские навыки,spark_logistic_regression,0.9405362776025237,0.22121212121212122,0.37823834196891193,0.27915869980879543,0.9695583596214511,0.030441640378548896,0.1992209289040738,0.8742733091081966
деловая переписка,spark_random_forest,0.9372239747634069,0.22646310432569974,0.48633879781420764,0.3090277777777778,0.9711356466876971,0.02886435331230284,0.1970005767431479,0.873496868374084
деловая переписка,spark_gbt,0.9397476340694007,0.2012012012012012,0.366120218579235,0.2596899224806201,0.9711356466876971,0.02886435331230284,0.2196140669538487,0.8070537688232595
деловая переписка,spark_logistic_regression,0.91198738170347,0.17504332755632582,0.5519125683060109,0.2657894736842105,0.9711356466876971,0.02886435331230284,0.1926554843751967,0.8748072965064422
английский язык,spark_random_forest,0.9641955835962145,0.33098591549295775,0.26256983240223464,0.2928348909657321,0.9717665615141956,0.028233438485804417,0.2007938835763531,0.8132621944308176
английский язык,spark_gbt,0.9629337539432177,0.3028169014084507,0.24022346368715083,0.26791277258566976,0.9717665615141956,0.028233438485804417,0.2002315740726697,0.76028160559439
английский язык,spark_logistic_regression,0.9529968454258675,0.24242424242424243,0.3128491620111732,0.27317073170731704,0.9717665615141956,0.028233438485804417,0.1901321322332851,0.8064414922122304
javascript,spark_random_forest,0.9645110410094637,0.4269230769230769,0.5935828877005348,0.4966442953020135,0.9705047318611988,0.02949526813880126,0.4596736259130418,0.9378034800640704
javascript,spark_gbt,0.9556782334384858,0.35843373493975905,0.6363636363636364,0.45857418111753373,0.9705047318611988,0.02949526813880126,0.4346384737604756,0.9075725853481328
javascript,spark_logistic_regression,0.9630914826498422,0.41754385964912283,0.6363636363636364,0.5042372881355932,0.9705047318611988,0.02949526813880126,0.4453323244831532,0.9453147067080012
1с: предприятие 8,spark_random_forest,0.9435331230283912,0.24102564102564103,0.6025641025641025,0.3443223443223443,0.9753943217665615,0.024605678233438486,0.2469073747836007,0.9367650595415798
1с: предприятие 8,spark_gbt,0.9354889589905363,0.21951219512195122,0.6346153846153846,0.3261943986820428,0.9753943217665615,0.024605678233438486,0.2491816998231269,0.8829511435632077
1с: предприятие 8,spark_logistic_regression,0.9358044164037855,0.23689727463312368,0.7243589743589743,0.35703001579778826,0.9753943217665615,0.024605678233438486,0.2268933379110019,0.9345706040402032
бизнес-анализ,spark_random_forest,0.9465299684542586,0.25217391304347825,0.5178571428571429,0.3391812865497076,0.9735015772870662,0.026498422712933754,0.2509405845814655,0.9212143744406384
бизнес-анализ,spark_gbt,0.9541009463722397,0.2779783393501805,0.4583333333333333,0.34606741573033706,0.9735015772870662,0.026498422712933754,0.2419585660458693,0.8742178579143904
бизнес-анализ,spark_logistic_regression,0.944794952681388,0.25271739130434784,0.5535714285714286,0.34701492537313433,0.9735015772870662,0.026498422712933754,0.2455762726440062,0.922936340770916
управление командой,spark_random_forest,0.9600946372239748,0.30952380952380953,0.4968152866242038,0.38141809290953543,0.9752365930599369,0.02476340694006309,0.3078024693704895,0.9347862590151126
управление командой,spark_gbt,0.9572555205047318,0.30344827586206896,0.5605095541401274,0.3937360178970917,0.9752365930599369,0.02476340694006309,0.3334319237087189,0.8908595687167704
управление командой,spark_logistic_regression,0.9645110410094637,0.364,0.5796178343949044,0.44717444717444715,0.9752365930599369,0.02476340694006309,0.3219500213343174,0.9405489265306248
разработка технических заданий,spark_random_forest,0.9506309148264984,0.19157088122605365,0.32894736842105265,0.24213075060532685,0.97602523659306,0.023974763406940065,0.1652867643494799,0.8604706052461476
разработка технических заданий,spark_gbt,0.9321766561514195,0.13802083333333334,0.34868421052631576,0.19776119402985076,0.97602523659306,0.023974763406940065,0.1984583229957401,0.7918158660225225
разработка технических заданий,spark_logistic_regression,0.9599369085173501,0.16,0.15789473684210525,0.15894039735099338,0.97602523659306,0.023974763406940065,0.1274222111252305,0.8444777455516623
java,spark_random_forest,0.9801261829652996,0.5963302752293578,0.4421768707482993,0.5078124999999999,0.976813880126183,0.023186119873817034,0.4807978001312964,0.933549069555159
java,spark_gbt,0.9823343848580441,0.6966292134831461,0.4217687074829932,0.5254237288135594,0.976813880126183,0.023186119873817034,0.5068600407654265,0.896437825897354
java,spark_logistic_regression,0.9716088328075709,0.42105263157894735,0.5986394557823129,0.49438202247191004,0.976813880126183,0.023186119873817034,0.4342186564048956,0.9367340348055898
деловое общение,spark_random_forest,0.967192429022082,0.30612244897959184,0.2980132450331126,0.30201342281879195,0.9761829652996845,0.023817034700315456,0.2948867627315621,0.886320956107771
деловое общение,spark_gbt,0.9471608832807571,0.19536423841059603,0.39072847682119205,0.26048565121412803,0.9761829652996845,0.023817034700315456,0.2798603704245148,0.8169857009712814
деловое общение,spark_logistic_regression,0.9485804416403786,0.20735785953177258,0.4105960264900662,0.27555555555555555,0.9761829652996845,0.023817034700315456,0.1994051944089189,0.8741844909629243
sql,catboost,0.8946372239747634,0.4193103448275862,0.5517241379310345,0.47648902821316613,0.9130914826498423,0.08690851735015773,0.4822117200304122,0.8862593459841072
sql,xgboost,0.9074132492113565,0.4700996677740864,0.5136116152450091,0.4908933217692975,0.9130914826498423,0.08690851735015773,0.4963957417342391,0.8863333332288316
sql,lightgbm,0.9077287066246057,0.47128378378378377,0.5063520871143375,0.4881889763779528,0.9130914826498423,0.08690851735015773,0.4872591977924994,0.8839767140822493
python,catboost,0.9157728706624606,0.44412607449856734,0.6798245614035088,0.537261698440208,0.9280757097791799,0.07192429022082018,0.5635364208165105,0.9251631692248976
python,xgboost,0.9271293375394322,0.49471830985915494,0.6162280701754386,0.548828125,0.9280757097791799,0.07192429022082018,0.5776164445398596,0.9299863143582954
python,lightgbm,0.9298107255520505,0.5106382978723404,0.5789473684210527,0.5426515930113053,0.9280757097791799,0.07192429022082018,0.569639334769077,0.9236540961513232
linux,catboost,0.9435331230283912,0.5150684931506849,0.5094850948509485,0.5122615803814714,0.9417981072555205,0.0582018927444795,0.4984193335169347,0.9248699336767274
linux,xgboost,0.9353312302839116,0.45494505494505494,0.5609756097560976,0.5024271844660194,0.9417981072555205,0.0582018927444795,0.5371747218109763,0.9341337694066942
linux,lightgbm,0.9406940063091482,0.4915254237288136,0.5501355013550135,0.5191815856777494,0.9417981072555205,0.0582018927444795,0.5346576112440522,0.9311196528478431
postgresql,catboost,0.9247634069400631,0.34509803921568627,0.5517241379310345,0.42460796139927626,0.9496845425867508,0.050315457413249214,0.4396333776860381,0.922512585261928
postgresql,xgboost,0.9257097791798107,0.3582089552238806,0.6018808777429467,0.44912280701754387,0.9496845425867508,0.050315457413249214,0.4637914410798426,0.92730875582275
postgresql,lightgbm,0.9337539432176656,0.389010989010989,0.554858934169279,0.4573643410852713,0.9496845425867508,0.050315457413249214,0.4655017148351918,0.9236491506477588
аналитическое мышление,catboost,0.9181388012618297,0.26700251889168763,0.31736526946107785,0.29001367989056087,0.9473186119873817,0.0526813880126183,0.2396431087527651,0.8162595887146784
аналитическое мышление,xgboost,0.908832807570978,0.2288888888888889,0.3083832335329341,0.2627551020408163,0.9473186119873817,0.0526813880126183,0.251863077962677,0.8141499219343532
аналитическое мышление,lightgbm,0.9296529968454259,0.3157894736842105,0.2874251497005988,0.30094043887147337,0.9473186119873817,0.0526813880126183,0.2571020333793294,0.8108184230938722
git,catboost,0.9378548895899054,0.33994334277620397,0.42704626334519574,0.3785488958990536,0.9556782334384858,0.044321766561514195,0.4025489944162116,0.9109486255850684
git,xgboost,0.9373817034700316,0.34065934065934067,0.4412811387900356,0.38449612403100775,0.9556782334384858,0.044321766561514195,0.420399237275548,0.9200612717530288
git,lightgbm,0.9429022082018927,0.36271186440677966,0.3807829181494662,0.3715277777777778,0.9556782334384858,0.044321766561514195,0.4028891197626572,0.9143023613001215
деловая коммуникация,catboost,0.898422712933754,0.1728,0.4595744680851064,0.25116279069767444,0.9629337539432177,0.03706624605678233,0.2397724836111644,0.8279470960322023
деловая коммуникация,xgboost,0.8998422712933754,0.20149253731343283,0.574468085106383,0.2983425414364641,0.9629337539432177,0.03706624605678233,0.2779592820459397,0.8473417324481154
деловая коммуникация,lightgbm,0.9324921135646688,0.23848238482384823,0.37446808510638296,0.2913907284768212,0.9629337539432177,0.03706624605678233,0.2729728189113042,0.8444330597522087
работа с большим объемом информации,catboost,0.9246056782334385,0.2190721649484536,0.3269230769230769,0.2623456790123457,0.9589905362776026,0.04100946372239748,0.2360585815608921,0.803765814777328
работа с большим объемом информации,xgboost,0.921608832807571,0.21445783132530122,0.3423076923076923,0.2637037037037037,0.9589905362776026,0.04100946372239748,0.2434664386955293,0.8095818572874492
работа с большим объемом информации,lightgbm,0.9433753943217665,0.27601809954751133,0.23461538461538461,0.25363825363825365,0.9589905362776026,0.04100946372239748,0.2461766304265438,0.804795673076923
docker,catboost,0.9375394321766561,0.2871046228710462,0.5339366515837104,0.37341772151898733,0.9651419558359622,0.03485804416403786,0.3284404246519036,0.923735801032168
docker,xgboost,0.9522082018927445,0.3446969696969697,0.4117647058823529,0.3752577319587629,0.9651419558359622,0.03485804416403786,0.3690078333322885,0.9323063908203733
docker,lightgbm,0.944794952681388,0.31728045325779036,0.5067873303167421,0.3902439024390244,0.9651419558359622,0.03485804416403786,0.3812281237335939,0.9355216560834548
1с программирование,catboost,0.977602523659306,0.5889830508474576,0.7554347826086957,0.6619047619047619,0.9709779179810726,0.029022082018927444,0.6214144409247905,0.982881670763059
1с программирование,xgboost,0.9717665615141956,0.5079872204472844,0.8641304347826086,0.6398390342052314,0.9709779179810726,0.029022082018927444,0.6899004751996143,0.9858621493346894
1с программирование,lightgbm,0.9742902208201892,0.5405405405405406,0.7608695652173914,0.6320541760722348,0.9709779179810726,0.029022082018927444,0.6594081117310076,0.9829134531174958
организаторские навыки,catboost,0.9375394321766561,0.21727019498607242,0.40414507772020725,0.2826086956521739,0.9695583596214511,0.030441640378548896,0.272462993621316,0.8670424344492573
организаторские навыки,xgboost,0.9514195583596214,0.2878228782287823,0.40414507772020725,0.33620689655172414,0.9695583596214511,0.030441640378548896,0.2920910088656867,0.8684863335331021
организаторские навыки,lightgbm,0.9525236593059937,0.2786885245901639,0.35233160621761656,0.3112128146453089,0.9695583596214511,0.030441640378548896,0.2927957279176533,0.867785035203996
деловая переписка,catboost,0.9408517350157729,0.21428571428571427,0.39344262295081966,0.2774566473988439,0.9711356466876971,0.02886435331230284,0.2458182017263039,0.8649881826274417
деловая переписка,xgboost,0.954416403785489,0.27350427350427353,0.34972677595628415,0.3069544364508393,0.9711356466876971,0.02886435331230284,0.2790643730499945,0.8669380712876454
деловая переписка,lightgbm,0.9585173501577287,0.29591836734693877,0.31693989071038253,0.30606860158311344,0.9711356466876971,0.02886435331230284,0.2738213062632737,0.871424501500358
английский язык,catboost,0.9585173501577287,0.3,0.35195530726256985,0.32390745501285345,0.9717665615141956,0.028233438485804417,0.2785165423026305,0.8033512298935728
английский язык,xgboost,0.9675078864353313,0.41818181818181815,0.3854748603351955,0.4011627906976744,0.9717665615141956,0.028233438485804417,0.3333290732145728,0.8247028750864829
английский язык,lightgbm,0.9697160883280758,0.4444444444444444,0.2905027932960894,0.35135135135135137,0.9717665615141956,0.028233438485804417,0.3172941899723595,0.8221947572539102
javascript,catboost,0.9668769716088328,0.45692883895131087,0.6524064171122995,0.5374449339207048,0.9705047318611988,0.02949526813880126,0.5165281162660956,0.9527929074204922
javascript,xgboost,0.9615141955835962,0.4117647058823529,0.7112299465240641,0.5215686274509804,0.9705047318611988,0.02949526813880126,0.5473406012205522,0.9442165944876244
javascript,lightgbm,0.9687697160883281,0.47808764940239046,0.6417112299465241,0.547945205479452,0.9705047318611988,0.02949526813880126,0.5433626482194803,0.941796141354463
1с: предприятие 8,catboost,0.9512618296529969,0.2571428571428571,0.5192307692307693,0.34394904458598724,0.9753943217665615,0.024605678233438486,0.2796635624942599,0.9335920655454936
1с: предприятие 8,xgboost,0.9460567823343848,0.2603092783505155,0.6474358974358975,0.3713235294117647,0.9753943217665615,0.024605678233438486,0.3696503770926772,0.9473009337579196
1с: предприятие 8,lightgbm,0.9608832807570978,0.3067226890756303,0.46794871794871795,0.37055837563451777,0.9753943217665615,0.024605678233438486,0.3448631744492031,0.9363390221249211
бизнес-анализ,catboost,0.9529968454258675,0.28618421052631576,0.5178571428571429,0.3686440677966102,0.9735015772870662,0.026498422712933754,0.3438564314405825,0.9154592167391908
бизнес-анализ,xgboost,0.9640378548895899,0.3557692307692308,0.44047619047619047,0.39361702127659576,0.9735015772870662,0.026498422712933754,0.3664311304761885,0.925051306977749
бизнес-анализ,lightgbm,0.9575709779179811,0.29880478087649404,0.44642857142857145,0.35799522673031026,0.9735015772870662,0.026498422712933754,0.3538316802185545,0.9161159846310528
управление командой,catboost,0.9569400630914826,0.3231707317073171,0.6751592356687898,0.43711340206185567,0.9752365930599369,0.02476340694006309,0.4031692123759767,0.9400225191118858
управление командой,xgboost,0.9662460567823344,0.3721973094170404,0.5286624203821656,0.4368421052631579,0.9752365930599369,0.02476340694006309,0.421923786009575,0.9195719514468992
управление командой,lightgbm,0.9632492113564669,0.3515625,0.5732484076433121,0.4358353510895884,0.9752365930599369,0.02476340694006309,0.4166653068419657,0.9266666048575763
разработка технических заданий,catboost,0.977602523659306,0.625,0.16447368421052633,0.2604166666666667,0.97602523659306,0.023974763406940065,0.2726113374001323,0.8592309393392983
разработка технических заданий,xgboost,0.976813880126183,0.5454545454545454,0.19736842105263158,0.2898550724637681,0.97602523659306,0.023974763406940065,0.3308399014020027,0.8616507331677611
разработка технических заданий,lightgbm,0.9738170347003154,0.40789473684210525,0.20394736842105263,0.2719298245614035,0.97602523659306,0.023974763406940065,0.2817800856457434,0.8657992549246418
java,catboost,0.9813880126182966,0.616,0.5238095238095238,0.5661764705882353,0.976813880126183,0.023186119873817034,0.4999961176143519,0.9367620453639232
java,xgboost,0.9810725552050473,0.6046511627906976,0.5306122448979592,0.5652173913043478,0.976813880126183,0.023186119873817034,0.5139201555266745,0.9440601688762056
java,lightgbm,0.9820189274447949,0.6386554621848739,0.5170068027210885,0.5714285714285714,0.976813880126183,0.023186119873817034,0.5253640463748768,0.9394433697909972
деловое общение,catboost,0.9488958990536278,0.21070234113712374,0.41721854304635764,0.28,0.9761829652996845,0.023817034700315456,0.3035163644960899,0.8765412679406639
деловое общение,xgboost,0.9575709779179811,0.2748091603053435,0.4768211920529801,0.3486682808716707,0.9761829652996845,0.023817034700315456,0.3288376726074802,0.887121885763997
деловое общение,lightgbm,0.9667192429022082,0.3,0.2980132450331126,0.29900332225913623,0.9761829652996845,0.023817034700315456,0.2946526909275732,0.8781741585958425
