skill,n_with,adjusted_premium
AutoCAD,115,10864.0
Монтаж инженерных систем,88,10448.0
Внимательность,98,10163.0
Базы данных,145,10133.0
Python,582,9965.0
Разработка ПО,93,9455.0
Деловая коммуникация,750,8508.0
1С: Зарплата и управление персоналом,110,7458.0
Разработка технических заданий,297,7096.0
Бизнес-анализ,239,6964.0
Настройка роутеров,114,6438.0
API,164,6408.0
Техническое обслуживание,267,6144.0
Node.js,101,6016.0
Linux,532,5868.0
Системы видеонаблюдения,168,5742.0
Бухгалтерский учет,80,5706.0
Планирование бюджета,82,5481.0
Java,180,5446.0
Документальное сопровождение,104,5295.0
Анализ продаж,92,5201.0
Английский язык,302,5110.0
Инженерные системы,107,5084.0
Маркетинговый анализ,135,4677.0
1С: Бухгалтерия,234,4348.0
1С: Документооборот,165,4324.0
Планирование,150,4117.0
Поиск информации в интернет,104,4103.0
1С: Предприятие 8,380,3965.0
слаботочные системы,100,3842.0
Битрикс24,156,3540.0
Обучение персонала,225,3512.0
Электрические системы и слаботочные системы,93,3246.0
Работа с базами данных,195,3091.0
ООП,97,2709.0
Проектный менеджмент,162,2608.0
React,118,2559.0
Управление персоналом,99,2355.0
TypeScript,134,2142.0
Деловая переписка,653,2139.0
Управление проектами,286,1697.0
Project management,82,1356.0
Прокладка кабелей,131,980.0
Продвижение бренда,142,667.0
1С,266,-80.0
Анализ требований,92,-1083.0
Аналитическое мышление,721,-1088.0
Работа с большим объемом информации,681,-1144.0
C#,118,-1493.0
Работа в команде,357,-2252.0
PHP,282,-2485.0
Анализ бизнес-процессов,83,-2519.0
Умение работать в коллективе,242,-2560.0
Организация работы сотрудников,88,-2782.0
Коммуникабельность,120,-3043.0
Ответственность,257,-3115.0
E-Commerce,133,-3359.0
Информационные технологии,237,-5670.0
Интернет маркетинг,89,-7144.0
Точность и внимательность к деталям,249,-7757.0
MySQL,203,-8731.0
JavaScript,346,-8948.0
Администрирование серверов Linux,99,-8949.0
Подготовка презентаций,102,-10102.0
Обучение и развитие,471,-10346.0
Internet Marketing,86,-10638.0
MS Excel,192,-10675.0
Контроль качества,188,-10821.0
Маркетплейсы,130,-10872.0
Пользователь ПК,217,-11245.0
TCP/IP,112,-11504.0
Подбор персонала,255,-11853.0
Анализ данных,193,-13797.0
Грамотная речь,249,-13896.0
1С-Битрикс,125,-13897.0
Аналитика,98,-14149.0
Клиентоориентированность,141,-14228.0
Администрирование,121,-14485.0
Настройка сетевых подключений,441,-16136.0
Интернет-реклама,123,-16644.0
Zabbix,91,-16866.0
Сбор и анализ информации,147,-19379.0
MS PowerPoint,102,-19644.0
SEO,140,-20177.0
Ремонт ПК,141,-20965.0
Ведение документации,80,-21231.0
SEO оптимизация,113,-21294.0
CSS,120,-21423.0
Работа с оргтехникой,108,-23141.0
Техническая поддержка,232,-23148.0
HTML,292,-23632.0
HTML5,81,-24526.0
Сборка ПК,82,-24759.0
Яндекс.Метрика,115,-25068.0
Настройка ПО,262,-25409.0
Документооборот,115,-25589.0
Настройка ПК,377,-26502.0
Администрирование сетевого оборудования,274,-29429.0
Adobe Photoshop,130,-29552.0
Консультативные продажи,170,-29831.0
Unity,96,-30126.0
Active Directory,97,-30328.0
Резервное копирование,80,-30582.0
Администрирование серверов Windows,145,-30706.0
Администрирование серверов,127,-30861.0
Figma,120,-32862.0
Техническая поддержка пользователей,173,-32870.0
Веб-программирование,130,-33186.0
Розничная торговля,124,-33806.0
Визуальный мерчандайзинг,88,-34493.0
Кассовые операции,106,-34652.0
Знание кассовой дисциплины,85,-35124.0
Оформление торгового зала,91,-35798.0
