,coef
skill_Продвижение сайтов,-5074.972370629402
skill_Исполнительность,-5080.168046946748
skill_Adobe Photoshop,-5336.659167762804
skill_Системный подход,-5419.604981926404
skill_1С: Предприятие 8,-5436.165165330251
skill_Маркетплейсы,-5482.470047332585
skill_Планирование ресурсов,-5516.547439455285
skill_Обновление конфигурации 1С,-5561.068086351732
skill_ABC-анализ,-5628.728375507301
skill_Ведение переписки,-5773.7807326997845
skill_Розничная торговля,-6025.93696730421
skill_Управленческие навыки,-6114.740790881447
skill_Администрирование сетевого оборудования,-6143.082680687495
skill_Управленческая отчетность,-6164.247401205445
skill_Продвижение бренда,-6180.04487640974
skill_amoCRM,-6335.314205661406
skill_Бухгалтерская отчетность,-6357.114886126978
skill_Проектирование,-6404.271043663829
skill_SMM,-6420.555859065662
skill_Аналитика,-6511.328118111271
skill_Пользователь ПК,-6566.9339221061955
skill_MS PowerPoint,-6646.533779730986
skill_Консультативные продажи,-6657.142022485773
skill_Битрикс24,-6757.6686579819625
skill_Управление проектами,-6824.591274863476
skill_Телевидение,-7187.747459785205
skill_Оценка персонала,-7250.665701218031
skill_Точность и внимательность к деталям,-7399.115143557803
skill_Google Docs,-7522.58288409816
skill_Планирование рекламных кампаний,-7617.886176752716
skill_Техническая поддержка пользователей,-7725.973168009854
skill_HTML5,-7832.792282738881
skill_Digital Marketing,-7859.59827499692
skill_Интернет маркетинг,-8181.634611864747
skill_MS Excel,-8233.921070150218
skill_Ведение документации,-8235.051189035508
skill_Грамотная речь,-8330.725836017744
skill_Описание бизнес-процессов,-8651.825518727774
skill_Наполнение контентом,-8709.085415968231
skill_Unity,-8783.402045339259
skill_Настройка сетевых подключений,-8819.747711228745
skill_Контроль качества,-9034.018701253852
skill_Функциональное тестирование,-9044.489762212179
skill_CMS Wordpress,-9046.369622972654
skill_Основы управления проектами,-9052.234535225654
skill_Подготовка коммерческих предложений,-9129.155272175578
skill_Настройка ПК,-9176.584623687671
skill_Мониторинг цен,-9306.936248859714
skill_HTML,-9341.649170961173
skill_Графический дизайн,-9375.710153509199
skill_Обучение персонала,-9619.107600759065
skill_Анализ данных,-9764.690081951869
skill_UX,-9944.242514564934
skill_Android,-10012.27556874656
skill_Прокладка кабелей,-10014.34799769138
skill_Организация мероприятий,-10188.321314571986
skill_Управление качеством,-10408.079874526247
skill_Конкурентная аналитика,-10426.922983184983
skill_Figma,-10637.772595601451
skill_Adobe Illustrator,-10646.204315869698
skill_Postman,-10857.524775260466
skill_3D Моделирование,-11105.0253175822
skill_Сбор и анализ информации,-11135.757213479765
skill_1С: Управление Производственным Предприятием,-11234.349500238497
skill_Яндекс.Метрика,-11365.309561599135
skill_Деловая переписка,-11397.499686555531
skill_Управление интернет-проектами,-11571.385457668348
skill_Техническая поддержка,-11755.730124486781
skill_Аналитические исследования,-11800.915419590587
skill_Ручное тестирование,-12412.149784170635
skill_Обеспечение антивирусной защиты,-12428.749914587657
skill_Работа с оргтехникой,-12461.35295010641
skill_Грамотность,-12496.71614882193
skill_Расстановка приоритетов,-12950.104777087083
skill_MikroTik,-12974.862895934628
skill_Мерчандайзинг,-13104.807883377856
skill_Делопроизводство,-13282.695824327853
skill_Обучение и развитие,-13377.885297961588
skill_Копирайтинг,-13394.19457960863
skill_Active Directory,-13452.220508137727
skill_Управление ожиданиями,-13506.036364854463
skill_Подбор персонала,-13624.570933676774
skill_MongoDB,-13703.465854443539
skill_Работа с клиентами,-13981.975493548345
skill_MySQL,-14164.352146296082
skill_Электронный документооборот,-14800.608897991364
skill_Nginx,-14984.938804580119
skill_Веб-программирование,-15089.764163665084
skill_Групповое обучение,-15771.02351204513
skill_Работа с возражениями,-16304.625510247175
skill_Работа с поставщиками,-16819.91974780688
skill_Обслуживание покупателей,-18109.66535451199
skill_Документооборот,-21651.327746819414
skill_Организация учебного процесса,-24792.088867583025
