skill,model,pr_auc,roc_auc,f1,precision,recall,threshold
деловая переписка,xgboost,0.0779176861032421,0.6930618401206636,0.06329113924050633,0.03289473684210526,0.8333333333333334,0.0011
деловая переписка,lightgbm,0.0830199242155317,0.7703619909502263,0.1,0.07142857142857142,0.16666666666666666,0.0003
английский язык,catboost,0.1497193327373053,0.7303977272727272,0.2,0.5,0.125,0.681
английский язык,xgboost,0.1142524243237648,0.6420454545454546,0.13333333333333333,0.14285714285714285,0.125,0.1848
английский язык,lightgbm,0.08535697419490779,0.7988636363636363,0.16,0.11764705882352941,0.25,0.0012
javascript,catboost,0.2107766266550211,0.8092507645259939,0.24,0.23076923076923078,0.25,0.4433
javascript,xgboost,0.16923627751308912,0.7585053516819572,0.26666666666666666,0.2222222222222222,0.3333333333333333,0.164
javascript,lightgbm,0.1685853254434987,0.765099388379205,0.2962962962962963,0.26666666666666666,0.3333333333333333,0.0056
1с: предприятие 8,catboost,0.21141338193969772,0.8580106302201973,0.16,0.125,0.2222222222222222,0.067
1с: предприятие 8,xgboost,0.21475792225138995,0.8339660845355606,0.22857142857142856,0.15384615384615385,0.4444444444444444,0.0232
1с: предприятие 8,lightgbm,0.38609850322593037,0.7800556821057959,0.2222222222222222,0.16666666666666666,0.3333333333333333,0.0006
бизнес-анализ,catboost,0.06683606271788116,0.6485788113695091,0.0,0.0,0.0,0.8571
бизнес-анализ,xgboost,0.0664717964833123,0.6182170542635659,0.11320754716981132,0.08571428571428572,0.16666666666666666,0.041
бизнес-анализ,lightgbm,0.07222167044428399,0.62312661498708,0.0,0.0,0.0,0.0672
управление командой,catboost,0.019320707300687568,0.553921568627451,0.031746031746031744,0.017543859649122806,0.16666666666666666,0.0139
управление командой,xgboost,0.018821150803261216,0.5158371040723981,0.0,0.0,0.0,0.0948
управление командой,lightgbm,0.021993239527269184,0.5889894419306184,0.0,0.0,0.0,0.0012
разработка технических заданий,catboost,0.06062964302213617,0.7250000000000001,0.06666666666666667,0.045454545454545456,0.125,0.0882
разработка технических заданий,xgboost,0.04502035470838668,0.70625,0.075,0.041666666666666664,0.375,0.0073
разработка технических заданий,lightgbm,0.043965324800712274,0.6724431818181817,0.05309734513274336,0.02857142857142857,0.375,0.0
java,catboost,0.5690052863146835,0.9213068181818183,0.47619047619047616,0.38461538461538464,0.625,0.4826
java,xgboost,0.5607302580920166,0.8988636363636364,0.43478260869565216,0.3333333333333333,0.625,0.1732
java,lightgbm,0.5877942057942057,0.8963068181818181,0.5882352941176471,0.5555555555555556,0.625,0.6806
деловое общение,catboost,0.07563472730806828,0.6667613636363636,0.11764705882352941,0.06976744186046512,0.375,0.0487
деловое общение,xgboost,0.06292191637452156,0.7315340909090909,0.08695652173913043,0.06666666666666667,0.125,0.118
деловое общение,lightgbm,0.05671165236240973,0.6582386363636363,0.07547169811320754,0.044444444444444446,0.25,0.0001
