skill,model,accuracy,precision,recall,f1,majority_baseline_acc,positive_rate,pr_auc,roc_auc
деловая коммуникация,spark_logistic_regression,0.8641955835962145,0.12198067632850242,0.4297872340425532,0.19002822201317027,0.9629337539432177,0.03706624605678233,0.116813055844369,0.7959001167511802
работа с большим объемом информации,spark_random_forest,0.9003154574132493,0.1423076923076923,0.2846153846153846,0.18974358974358974,0.9589905362776026,0.04100946372239748,0.1206301604182369,0.7560959640688258
работа с большим объемом информации,spark_gbt,0.8772870662460568,0.1246376811594203,0.33076923076923076,0.18105263157894738,0.9589905362776026,0.04100946372239748,0.1149089700180834,0.7469781123481775
работа с большим объемом информации,spark_logistic_regression,0.8769716088328076,0.12099125364431487,0.3192307692307692,0.1754756871035941,0.9589905362776026,0.04100946372239748,0.1054547293920438,0.7598934084008095
docker,spark_random_forest,0.9309148264984227,0.2676659528907923,0.5656108597285068,0.3633720930232558,0.9651419558359622,0.03485804416403786,0.2952107546836678,0.9208854698554092
docker,spark_gbt,0.943217665615142,0.30422535211267604,0.48868778280542985,0.375,0.9651419558359622,0.03485804416403786,0.2877896807052868,0.8908310957857694
docker,spark_logistic_regression,0.9495268138801262,0.3238434163701068,0.4117647058823529,0.36254980079681276,0.9651419558359622,0.03485804416403786,0.3214699319402777,0.9204809735125145
1с программирование,spark_random_forest,0.9477917981072556,0.25901639344262295,0.42934782608695654,0.3231083844580777,0.9709779179810726,0.029022082018927444,0.2639063411235683,0.907004830917874
1с программирование,spark_gbt,0.9490536277602524,0.2750809061488673,0.46195652173913043,0.3448275862068965,0.9709779179810726,0.029022082018927444,0.2920371157476792,0.9021447792185772
1с программирование,spark_logistic_regression,0.9473186119873817,0.265625,0.46195652173913043,0.3373015873015873,0.9709779179810726,0.029022082018927444,0.2456026474772858,0.9075632292284652
организаторские навыки,spark_random_forest,0.8569400630914826,0.09797297297297297,0.45077720207253885,0.16096207215541164,0.9695583596214511,0.030441640378548896,0.0988928194679954,0.778468118320491
организаторские навыки,spark_gbt,0.8697160883280757,0.10585305105853052,0.44041450777202074,0.1706827309236948,0.9695583596214511,0.030441640378548896,0.1052005609527451,0.7711415737572812
организаторские навыки,spark_logistic_regression,0.8906940063091483,0.12121212121212122,0.41450777202072536,0.18757327080890973,0.9695583596214511,0.030441640378548896,0.1059705244143681,0.7849112967191548
деловая переписка,spark_random_forest,0.8996845425867508,0.1141396933560477,0.366120218579235,0.174025974025974,0.9711356466876971,0.02886435331230284,0.1150262801396124,0.8132850698170193
деловая переписка,spark_gbt,0.9399053627760252,0.16554054054054054,0.2677595628415301,0.2045929018789144,0.9711356466876971,0.02886435331230284,0.1082814448698741,0.7804156449054834
деловая переписка,spark_logistic_regression,0.8858044164037855,0.10966810966810966,0.41530054644808745,0.1735159817351598,0.9711356466876971,0.02886435331230284,0.1031441694454899,0.791244316522755
английский язык,spark_random_forest,0.9408517350157729,0.21839080459770116,0.4245810055865922,0.28842504743833014,0.9717665615141956,0.028233438485804417,0.2359706037117938,0.7710617064087582
английский язык,spark_gbt,0.9487381703470031,0.23741007194244604,0.3687150837988827,0.2888402625820569,0.9717665615141956,0.028233438485804417,0.1965036447612425,0.7174577151826361
английский язык,spark_logistic_regression,0.9517350157728707,0.23868312757201646,0.3240223463687151,0.2748815165876777,0.9717665615141956,0.028233438485804417,0.1602760131107294,0.748377566944349
javascript,spark_random_forest,0.9602523659305994,0.38434163701067614,0.5775401069518716,0.4615384615384615,0.9705047318611988,0.02949526813880126,0.4338172919594183,0.9428434110224918
javascript,spark_gbt,0.9597791798107256,0.373134328358209,0.5347593582887701,0.43956043956043955,0.9705047318611988,0.02949526813880126,0.3757103142619351,0.912057159196288
javascript,spark_logistic_regression,0.9561514195583596,0.36656891495601174,0.6684491978609626,0.47348484848484845,0.9705047318611988,0.02949526813880126,0.4440166390734793,0.9311661369481088
1с: предприятие 8,spark_random_forest,0.9168769716088329,0.14800759013282733,0.5,0.22840409956076138,0.9753943217665615,0.024605678233438486,0.1460084538880073,0.867568186718413
1с: предприятие 8,spark_gbt,0.9501577287066246,0.19230769230769232,0.32051282051282054,0.2403846153846154,0.9753943217665615,0.024605678233438486,0.1511021846257456,0.8531083109430455
1с: предприятие 8,spark_logistic_regression,0.9376971608832808,0.1495601173020528,0.3269230769230769,0.2052313883299799,0.9753943217665615,0.024605678233438486,0.1241808553755827,0.8644060768899055
бизнес-анализ,spark_random_forest,0.961198738170347,0.21323529411764705,0.17261904761904762,0.19078947368421056,0.9735015772870662,0.026498422712933754,0.1884601036030163,0.882168992840169
бизнес-анализ,spark_gbt,0.9465299684542586,0.20209059233449478,0.34523809523809523,0.254945054945055,0.9735015772870662,0.026498422712933754,0.1532118779754769,0.8355273817239146
бизнес-анализ,spark_logistic_regression,0.9332807570977918,0.16883116883116883,0.3869047619047619,0.23508137432188064,0.9735015772870662,0.026498422712933754,0.148689250592007,0.8470102112458724
управление командой,spark_random_forest,0.9634069400630915,0.25165562913907286,0.24203821656050956,0.24675324675324675,0.9752365930599369,0.02476340694006309,0.1577401244356918,0.8382785756301182
управление командой,spark_gbt,0.9509463722397477,0.17916666666666667,0.27388535031847133,0.21662468513853908,0.9752365930599369,0.02476340694006309,0.1343595200888444,0.7912166192281895
управление командой,spark_logistic_regression,0.9485804416403786,0.17870722433460076,0.29936305732484075,0.2238095238095238,0.9752365930599369,0.02476340694006309,0.1224551838334228,0.841144457115307
разработка технических заданий,spark_random_forest,0.8932176656151419,0.0892018779342723,0.375,0.1441213653603034,0.97602523659306,0.023974763406940065,0.0902295217831026,0.7639536837002011
разработка технических заданий,spark_gbt,0.9471608832807571,0.15471698113207547,0.26973684210526316,0.19664268585131897,0.97602523659306,0.023974763406940065,0.1099675546369601,0.7543281988908918
разработка технических заданий,spark_logistic_regression,0.9465299684542586,0.12449799196787148,0.20394736842105263,0.15461346633416456,0.97602523659306,0.023974763406940065,0.0819880500738448,0.7773433513081349
java,spark_random_forest,0.9753943217665615,0.47337278106508873,0.54421768707483,0.5063291139240508,0.976813880126183,0.023186119873817034,0.420147754797766,0.937922561241516
