skill,model,accuracy,precision,recall,f1,majority_baseline_acc,positive_rate,pr_auc,roc_auc
разработка технических заданий,spark_gbt,0.9746056782334385,0.4117647058823529,0.13815789473684212,0.20689655172413793,0.97602523659306,0.023974763406940065,0.1623663304642345,0.727974666587283
разработка технических заданий,spark_logistic_regression,0.8913249211356467,0.0888208269525268,0.3815789473684211,0.1440993788819876,0.97602523659306,0.023974763406940065,0.0865524155680673,0.7756311026434868
java,spark_random_forest,0.9774447949526814,0.5163934426229508,0.42857142857142855,0.46840148698884754,0.976813880126183,0.023186119873817034,0.4419248080639272,0.935736639238288
java,spark_gbt,0.9810725552050473,0.6173913043478261,0.48299319727891155,0.5419847328244275,0.976813880126183,0.023186119873817034,0.4685522726813124,0.8814280112174048
java,spark_logistic_regression,0.9716088328075709,0.42028985507246375,0.5918367346938775,0.4915254237288135,0.976813880126183,0.023186119873817034,0.4054650279154762,0.9273153472595232
деловое общение,spark_random_forest,0.9351735015772871,0.11988304093567251,0.271523178807947,0.1663286004056795,0.9761829652996845,0.023817034700315456,0.1244254163423715,0.8073884556984781
деловое общение,spark_gbt,0.9618296529968454,0.19047619047619047,0.18543046357615894,0.18791946308724833,0.9761829652996845,0.023817034700315456,0.1466962075668346,0.7486118824361532
деловое общение,spark_logistic_regression,0.922397476340694,0.11161731207289294,0.32450331125827814,0.16610169491525426,0.9761829652996845,0.023817034700315456,0.0990941006625897,0.8172350217593914
sql,catboost,0.8921135646687697,0.4067321178120617,0.5263157894736842,0.4588607594936709,0.9130914826498423,0.08690851735015773,0.4284614059600457,0.8552931760247469
sql,xgboost,0.8949526813880126,0.4124809741248097,0.49183303085299457,0.44867549668874174,0.9130914826498423,0.08690851735015773,0.4462137366579901,0.8587498851786933
sql,lightgbm,0.8951104100946372,0.4109375,0.47731397459165154,0.44164567590260284,0.9130914826498423,0.08690851735015773,0.4439965746294479,0.8579145503754382
python,catboost,0.9250788643533123,0.48282097649186256,0.5855263157894737,0.5292368681863231,0.9280757097791799,0.07192429022082018,0.5170260208175196,0.9086734990518446
python,xgboost,0.9269716088328076,0.4937833037300178,0.6096491228070176,0.5456329735034348,0.9280757097791799,0.07192429022082018,0.5425625819650273,0.910647705046096
python,lightgbm,0.9168769716088329,0.44170771756978655,0.5899122807017544,0.5051643192488263,0.9280757097791799,0.07192429022082018,0.5218783995910803,0.9030490431977292
linux,catboost,0.9361198738170347,0.4552238805970149,0.4959349593495935,0.47470817120622566,0.9417981072555205,0.0582018927444795,0.4371536739649498,0.9017974864056126
linux,xgboost,0.939589905362776,0.4824120603015075,0.5203252032520326,0.500651890482399,0.9417981072555205,0.0582018927444795,0.5018835069655501,0.913396456858556
linux,lightgbm,0.9392744479495269,0.4786096256684492,0.48509485094850946,0.48183041722745623,0.9417981072555205,0.0582018927444795,0.4937779283795256,0.9078338890908588
postgresql,catboost,0.9209779179810725,0.34256055363321797,0.6206896551724138,0.4414715719063545,0.9496845425867508,0.050315457413249214,0.438547195129267,0.9189323782643714
postgresql,xgboost,0.9078864353312303,0.3146853146853147,0.7053291536050157,0.43520309477756286,0.9496845425867508,0.050315457413249214,0.4448766252041057,0.9261646411020156
postgresql,lightgbm,0.9184542586750789,0.33980582524271846,0.658307210031348,0.44823906083244397,0.9496845425867508,0.050315457413249214,0.4441753157726213,0.9253159917300942
аналитическое мышление,catboost,0.9285488958990537,0.24242424242424243,0.16766467065868262,0.19823008849557522,0.9473186119873817,0.0526813880126183,0.1602297602203437,0.7438856054125517
аналитическое мышление,xgboost,0.8332807570977918,0.14172447968285432,0.4281437125748503,0.21295606850335072,0.9473186119873817,0.0526813880126183,0.1692735400064431,0.7540809988414778
аналитическое мышление,lightgbm,0.8818611987381704,0.15815485996705106,0.2874251497005988,0.20403825717321997,0.9473186119873817,0.0526813880126183,0.1545844975120622,0.7452021531362848
git,catboost,0.9271293375394322,0.2829736211031175,0.4199288256227758,0.33810888252148996,0.9556782334384858,0.044321766561514195,0.3501870962327932,0.8908919938516803
git,xgboost,0.9383280757097792,0.3270440251572327,0.3701067615658363,0.34724540901502504,0.9556782334384858,0.044321766561514195,0.3608432294521212,0.9018530124005992
git,lightgbm,0.9209779179810725,0.2708333333333333,0.4626334519572954,0.3416557161629435,0.9556782334384858,0.044321766561514195,0.3456307064927382,0.8930346257060612
деловая коммуникация,catboost,0.854416403785489,0.11777777777777777,0.451063829787234,0.186784140969163,0.9629337539432177,0.03706624605678233,0.185373968600658,0.788901667625072
деловая коммуникация,xgboost,0.9367507886435331,0.20567375886524822,0.24680851063829787,0.22437137330754353,0.9629337539432177,0.03706624605678233,0.1940774468387941,0.796982243365222
деловая коммуникация,lightgbm,0.86403785488959,0.12811387900355872,0.4595744680851064,0.20037105751391465,0.9629337539432177,0.03706624605678233,0.1998588392250567,0.7945259379301931
работа с большим объемом информации,catboost,0.9089905362776025,0.12705882352941175,0.2076923076923077,0.15766423357664233,0.9589905362776026,0.04100946372239748,0.1535855599720334,0.7427846659919028
работа с большим объемом информации,xgboost,0.9056782334384859,0.1341991341991342,0.23846153846153847,0.17174515235457063,0.9589905362776026,0.04100946372239748,0.1610584346788472,0.7703580465587044
работа с большим объемом информации,lightgbm,0.9364353312302839,0.205761316872428,0.19230769230769232,0.1988071570576541,0.9589905362776026,0.04100946372239748,0.1679022371082525,0.7689416751012146
docker,catboost,0.9436908517350158,0.3057142857142857,0.4841628959276018,0.37478108581436076,0.9651419558359622,0.03485804416403786,0.3374497044135283,0.9225910837765908
docker,xgboost,0.9509463722397477,0.332089552238806,0.40271493212669685,0.36400817995910023,0.9651419558359622,0.03485804416403786,0.3321894790094715,0.92287430516476
docker,lightgbm,0.9452681388012618,0.3102409638554217,0.4660633484162896,0.37251356238698013,0.9651419558359622,0.03485804416403786,0.3529661835030528,0.9286208153670158
1с программирование,catboost,0.953627760252366,0.302158273381295,0.45652173913043476,0.36363636363636365,0.9709779179810726,0.029022082018927444,0.3470035283752997,0.9199468704974996
1с программирование,xgboost,0.9575709779179811,0.33201581027667987,0.45652173913043476,0.38443935926773454,0.9709779179810726,0.029022082018927444,0.396444395075981,0.923176310845552
1с программирование,lightgbm,0.9563091482649843,0.31906614785992216,0.44565217391304346,0.37188208616780044,0.9709779179810726,0.029022082018927444,0.3703984366726738,0.9184292630731418
организаторские навыки,catboost,0.9175078864353312,0.11627906976744186,0.25906735751295334,0.16051364365971107,0.9695583596214511,0.030441640378548896,0.147308058550067,0.7815544210032106
организаторские навыки,xgboost,0.9477917981072556,0.17452830188679244,0.19170984455958548,0.18271604938271604,0.9695583596214511,0.030441640378548896,0.1695131457787719,0.7845260883821334
организаторские навыки,lightgbm,0.9438485804416403,0.1589958158995816,0.19689119170984457,0.17592592592592593,0.9695583596214511,0.030441640378548896,0.1672311829181121,0.7798369987128815
